exp2/qos0_512b40ms_2.csv: 1483/1483, 2.76 ms
exp2/qos0_512b40ms_3.csv: 1483/1483, 2.48 ms
exp2/qos0_512b60ms_1.csv: 993/993, 2.59 ms
exp2/qos0_512b60ms_2.csv: 993/993, 2.55 ms
exp2/qos0_512b60ms_3.csv: 993/993, 2.54 ms
exp2/qos0_512b80ms_1.csv: 746/746, 2.57 ms
exp2/qos0_512b80ms_2.csv: 746/746, 2.54 ms
exp2/qos0_512b80ms_3.csv: 746/746, 2.59 ms
exp2/qos0_512b100ms_1.csv: 598/598, 2.54 ms
exp2/qos0_512b100ms_2.csv: 598/598, 2.60 ms
exp2/qos0_512b100ms_3.csv: 598/598, 2.65 ms
exp2/qos0_512b1000ms_1.csv: 61/61, 2.51 ms
exp2/qos0_512b1000ms_2.csv: 61/61, 2.48 ms
exp2/qos0_512b1000ms_3.csv: 61/61, 2.62 ms
exp2/qos0_512b3000ms_1.csv: 21/21, 2.48 ms
exp2/qos0_512b3000ms_2.csv: 21/21, 2.57 ms
exp2/qos0_512b3000ms_3.csv: 21/21, 2.71 ms
exp2/qos0_512b5000ms_1.csv: 13/13, 2.23 ms
exp2/qos0_512b5000ms_2.csv: 13/13, 2.54 ms
exp2/qos0_512b5000ms_3.csv: 13/13, 2.38 ms
exp2/qos1_512b0ms_1.csv: 52663/52663, 1.13 ms
exp2/qos1_512b0ms_2.csv: 52711/52711, 1.12 ms
exp2/qos1_512b0ms_3.csv: 52714/52714, 1.08 ms
exp2/qos1_512b10ms_1.csv: 5835/5835, 2.14 ms
exp2/qos1_512b10ms_2.csv: 5832/5832, 2.05 ms
exp2/qos1_512b10ms_3.csv: 5832/5832, 2.01 ms
exp2/qos1_512b20ms_1.csv: 2952/2952, 2.36 ms
exp2/qos1_512b20ms_2.csv: 2952/2952, 2.36 ms
exp2/qos1_512b20ms_3.csv: 2950/2950, 2.40 ms
exp2/qos1_512b40ms_1.csv: 1488/1488, 2.55 ms
